GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,StatementCoverage,BranchCoverage,ComplexCOverage,d^2ofT and U,d^2ofT and V,d^2ofU and V,rank_Statement,rank_Branch,rank_Complex
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,5,49,1,1,1,17,1,11,0,11,0.907407407,0.5,12,900,1225,4225,44,14,79
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyIterator,0,14,0,0,0,6,0,4,0,4,1,0.81,4,1521,2809,196,89,50,36
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractUntypedIteratorDecorator,5,19,1,1,1,8,1,4,0,4,0.791666667,0.5,5,240.25,210.25,900,29,13.5,43.5
Apache Commons Collections,org.apache.commons.collections4.iterators,TransformIterator,23,28,0,0,11,9,6,5,6,5,0.549019608,0.81,11,1332.25,3481,506.25,12,48.5,71
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayListIterator,5,113,0,8,1,25,1,14,1,10,0.957627119,1,15,2550.25,1332.25,196,50,100.5,86.5
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,0,59,0,4,0,17,0,12,0,10,1,1,12,210.25,100,600.25,85.5,100,75.5
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingIterator,0,56,0,8,0,17,0,10,0,6,1,1,10,210.25,400,1190.25,85,99.5,65
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedMapIterator,0,10,0,0,0,4,0,3,0,3,1,0.81,3,1332.25,3192.25,400,84.5,48,28
Apache Commons Collections,org.apache.commons.collections4.iterators,NodeListIterator,7,71,3,9,1,15,3,8,0,5,0.91025641,0.75,11,380.25,702.25,2116,42,22.5,68.5
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyMapIterator,0,18,0,0,0,5,0,4,0,4,1,0.81,4,1332.25,2352.25,144,83,46.5,34.5
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractIteratorDecorator,0,8,0,0,0,3,0,2,0,2,1,0.81,2,1332.25,4624,992.25,82.5,46,14.5
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectGraphIterator,0,195,0,30,0,56,0,23,0,8,1,1,23,169,100,9,82,95,92
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableIterator,0,38,0,4,0,12,0,7,0,5,1,1,7,169,900,1849,81.5,94.5,51.5
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorIterable.new Iterator() {...},4,14,0,0,2,3,1,3,1,3,0.777777778,0.81,4,380.25,49,156.25,26,45.5,33
Apache Commons Collections,org.apache.commons.collections4.iterators,LazyIteratorChain,0,99,0,12,0,28,0,11,0,5,1,1,11,169,256,841,80,93,64
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractMapIteratorDecorator,41,0,2,0,13,0,9,0,8,0,0,0,9,6.25,2916,2652.25,2,4.5,56
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,49,0,2,0,15,0,11,0,10,0,0,0,11,6.25,3721,3422.25,1.5,4,62.5
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableListIterator,0,64,0,4,0,18,0,13,0,11,1,1,13,169,64,441,77.5,90.5,69.5
Apache Commons Collections,org.apache.commons.collections4.iterators,LoopingListIterator,16,137,3,21,4,39,4,21,1,12,0.895424837,0.875,25,812.25,2500,462.25,37,65.5,87
Apache Commons Collections,org.apache.commons.collections4.iterators,BoundedIterator,5,117,1,17,1,31,1,14,0,6,0.959016393,0.944444444,15,784,841,1,45,73,74
Apache Commons Collections,org.apache.commons.collections4.iterators,PeekingIterator,12,123,3,21,4,35,3,17,0,8,0.911111111,0.875,20,729,1849,256,38,65,81
Apache Commons Collections,org.apache.commons.collections4.iterators,SingletonListIterator,0,127,2,26,0,32,2,23,0,11,1,0.928571429,25,16,110.25,210.25,74,70,84.5
Apache Commons Collections,org.apache.commons.collections4.iterators,UnmodifiableMapIterator,0,51,0,4,0,15,0,10,0,8,1,1,10,156.25,225,756.25,73.5,86,58.5
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyListIterator,2,12,0,0,1,5,1,3,1,3,0.857142857,0.81,4,144,2.25,110.25,31,43,32.5
Apache Commons Collections,org.apache.commons.collections4.iterators,FilterListIterator,68,191,6,30,18,58,15,24,9,12,0.737451737,0.833333333,39,1849,4356,529,20,63,86
Apache Commons Collections,org.apache.commons.collections4.iterators,CollatingIterator,79,322,9,39,18,87,10,36,4,18,0.802992519,0.8125,46,1444,4356,784,24,62,90
Apache Commons Collections,org.apache.commons.collections4.iterators,ZippingIterator,5,134,1,13,1,34,1,12,0,6,0.964028777,0.928571429,13,650.25,676,0.25,41,66.5,67
Apache Commons Collections,org.apache.commons.collections4.iterators,UniqueFilterIterator,0,5,0,0,0,2,0,1,0,1,1,0.81,1,702.25,4356,1560.25,69,42.5,3
Apache Commons Collections,org.apache.commons.collections4.iterators,PermutationIterator,0,262,0,34,0,45,0,21,0,4,1,1,21,144,90.25,6.25,68.5,80.5,78
Apache Commons Collections,org.apache.commons.collections4.iterators,PushbackIterator,12,50,3,5,3,12,3,7,0,6,0.806451613,0.625,10,56.25,1024,1560.25,24,16.5,56
Apache Commons Collections,org.apache.commons.collections4.iterators,IteratorEnumeration,7,17,0,0,4,6,2,4,2,4,0.708333333,0.81,6,729,900,9,14,41,44
Apache Commons Collections,org.apache.commons.collections4.iterators,EntrySetMapIterator,121,0,10,0,31,0,14,0,9,0,0,0,14,6.25,4225,3906.25,1,3.5,66
Apache Commons Collections,org.apache.commons.collections4.iterators,EmptyOrderedIterator,0,10,0,0,0,4,0,3,0,3,1,0.81,3,650.25,1560.25,196,65,39.5,25.5
Apache Commons Collections,org.apache.commons.collections4.iterators,ArrayIterator,9,122,0,10,3,28,3,13,3,8,0.93129771,1,16,1764,1122.25,72.25,34,76,67.5
Apache Commons Collections,org.apache.commons.collections4.iterators,AbstractEmptyIterator,0,37,0,0,0,12,0,11,0,11,1,0.81,11,600.25,56.25,289,63.5,39,56
Apache Commons Collections,org.apache.commons.collections4.iterators,ListIteratorWrapper,41,253,8,32,11,61,8,23,2,9,0.860544218,0.8,31,42.25,2304,2970.25,27,20.5,75
Apache Commons Collections,org.apache.commons.collections4.iterators,ObjectArrayListIterator,6,112,0,8,3,23,1,14,1,10,0.949152542,1,15,1560.25,930.25,81,34,73.5,64.5
Apache Commons Collections,org.apache.commons.collections4,PredicateUtils,12,98,0,0,5,26,5,24,5,24,0.890909091,0.81,29,72.25,1936,1260.25,29,37.5,73
Apache Commons Collections,org.apache.commons.collections4,FunctorException,8,8,0,0,4,4,2,2,2,2,0.5,0.81,4,870.25,506.25,49,7.5,37,30
Apache Commons Collections,org.apache.commons.collections4,EnumerationUtils,0,53,0,6,0,13,0,6,0,3,1,1,6,144,306.25,870.25,59,71,41.5
Apache Commons Collections,org.apache.commons.collections4,BagUtils,8,39,0,0,3,11,3,9,3,9,0.829787234,0.81,12,182.25,1089,380.25,23,36.5,56
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.2.new LazyIteratorChain() {...},0,23,0,2,0,4,0,3,0,2,1,1,3,144,1056.25,1980.25,57.5,69.5,25
Apache Commons Collections,org.apache.commons.collections4,ListUtils.LcsVisitor,0,19,0,0,0,8,0,5,0,5,1,0.81,5,441,529,4,57,36,34
Apache Commons Collections,org.apache.commons.collections4,SetUtils,37,176,1,35,11,43,12,31,11,14,0.82629108,0.972222222,43,1296,2209,121,22,58,69
Apache Commons Collections,org.apache.commons.collections4,ComparatorUtils,16,98,4,14,4,25,5,15,1,10,0.859649123,0.777777778,20,16,1722.25,2070.25,23,19,64.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.UnmodifiableIterable,0,11,0,0,0,4,0,2,0,2,1,0.81,2,400,1722.25,462.25,54.5,34.5,13
Apache Commons Collections,org.apache.commons.collections4,FluentIterable,0,190,0,4,0,45,0,36,0,34,1,1,36,121,144,1,54,65,66
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},13,41,5,3,1,4,4,5,1,4,0.759259259,0.375,9,144,812.25,1640.25,18,6,46.5
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},0,33,0,4,0,3,0,5,0,3,1,1,5,121,400,961,52.5,63.5,32.5
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new Predicate() {...},0,11,0,0,0,2,0,2,0,2,1,0.81,2,361,1560.25,420.25,52,33,12.5
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},12,41,4,0,1,4,3,4,1,4,0.773584906,0,7,225,441,1296,18,3,39
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new SetUtils.SetView() {...},0,33,0,4,0,3,0,5,0,3,1,1,5,110.25,380.25,900,50.5,61,31
Apache Commons Collections,org.apache.commons.collections4,SetUtils.new Predicate() {...},0,15,0,2,0,2,0,3,0,2,1,1,3,110.25,756.25,1444,50,60.5,22.5
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.SetOperationCardinalityHelper,0,48,0,2,0,11,0,5,0,4,1,1,5,110.25,400,930.25,49.5,60,29.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.7.new LazyIteratorChain() {...},0,18,0,2,0,4,0,3,0,2,1,1,3,110.25,729,1406.25,49,59.5,22
Apache Commons Collections,org.apache.commons.collections4,IteratorUtils,249,626,42,100,58,168,44,97,16,54,0.715428571,0.704225352,141,4,2500,2304,13,15,63
Apache Commons Collections,org.apache.commons.collections4,SetUtils.SetView,16,11,0,0,5,3,2,3,2,3,0.407407407,0.81,5,650.25,529,6.25,5,30.5,28
Apache Commons Collections,org.apache.commons.collections4,ClosureUtils,0,112,0,4,0,28,0,18,0,16,1,1,18,110.25,36,20.25,46.5,57,52.5
Apache Commons Collections,org.apache.commons.collections4,ArrayUtils,22,38,7,9,6,9,6,6,1,3,0.633333333,0.5625,12,9,1260.25,1056.25,8,11,43.5
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils,13,32,3,7,3,8,3,4,0,2,0.711111111,0.7,7,9,552.25,420.25,10,13,33.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,13,0,0,0,2,0,2,0,2,1,0.81,2,256,1024,256,44,28,12
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,17,0,0,0,2,0,2,0,2,1,0.81,2,256,1024,256,43.5,27.5,11.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,44,0,2,0,6,0,3,0,2,1,1,3,90.25,552.25,1089,43,52.5,19.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.81,2,240.25,992.25,256,42.5,27,11
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,2,0,2,0,2,1,0.81,2,240.25,992.25,256,42,26.5,10.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.81,2,240.25,992.25,256,41.5,26,10
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.81,2,240.25,992.25,256,41,25.5,9.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,22,0,0,0,2,0,2,0,2,1,0.81,2,240.25,992.25,256,40.5,25,9
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils,44,1420,20,250,9,337,19,184,0,68,0.969945355,0.925925926,203,121,625,196,27,38,52
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,18,0,0,0,2,0,2,0,2,1,0.81,2,210.25,930.25,256,39,24.5,8.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,11,0,0,0,2,0,2,0,2,1,0.81,2,210.25,930.25,256,38.5,24,8
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,5,0,0,0,2,0,2,0,2,1,0.81,2,210.25,930.25,256,38,23.5,7.5
Apache Commons Collections,org.apache.commons.collections4,MultiMapUtils,29,77,4,16,8,22,8,14,4,8,0.726415094,0.8,22,9,900,729,11,14,41
Apache Commons Collections,org.apache.commons.collections4,TrieUtils,0,3,0,0,0,1,0,1,0,1,1,0.81,1,210.25,1156,380.25,36.5,22,2.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils,58,526,3,59,7,120,7,68,4,40,0.900684932,0.951612903,75,289,729,100,18,35,45
Apache Commons Collections,org.apache.commons.collections4,ArrayStack,23,70,6,10,6,24,6,10,2,6,0.752688172,0.625,16,0,576,576,12,12,36
Apache Commons Collections,org.apache.commons.collections4,FactoryUtils,0,21,0,0,0,6,0,6,0,6,1,0.81,6,182.25,225,2.25,34,20.5,19
Apache Commons Collections,org.apache.commons.collections4,MapUtils,79,1014,10,178,21,285,23,145,15,59,0.927721866,0.946808511,168,196,625,121,18,32,43
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.EquatorWrapper,2,32,1,1,1,9,1,4,0,4,0.941176471,0.5,5,100,6.25,56.25,18,8,15.5
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},0,16,0,0,0,2,0,2,0,2,1,0.81,2,156.25,650.25,169,31.5,19,6
Apache Commons Collections,org.apache.commons.collections4,IterableUtils.new FluentIterable() {...},4,20,1,1,0,4,1,2,0,2,0.833333333,0.5,3,42.25,25,2.25,14,7.5,9
Apache Commons Collections,org.apache.commons.collections4,ListUtils,48,376,8,66,9,90,12,48,5,18,0.886792453,0.891891892,60,121,625,196,14,25,39
Apache Commons Collections,org.apache.commons.collections4,QueueUtils,0,22,0,0,0,6,0,6,0,6,1,0.81,6,132.25,182.25,4,29,17.5,15.5
Apache Commons Collections,org.apache.commons.collections4,ListUtils.Partition,34,48,2,2,3,11,3,3,1,3,0.585365854,0.5,6,0,64,64,7,7,15
Apache Commons Collections,org.apache.commons.collections4,MultiSetUtils,0,18,0,0,0,6,0,5,0,5,1,0.81,5,132.25,210.25,9,27.5,16,13
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,1,0.81,2,132.25,462.25,100,27,15.5,5.5
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,1,0.81,2,132.25,462.25,100,26.5,15,5
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.new Transformer() {...},0,13,0,0,0,2,0,2,0,2,1,0.81,2,132.25,462.25,100,26,14.5,4.5
Apache Commons Collections,org.apache.commons.collections4,ListUtils.CharSequenceAsList,0,16,0,0,0,5,0,3,0,3,1,0.81,3,132.25,400,72.25,25.5,14,5.5
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractMapDecorator() {...},0,4,0,0,0,1,0,1,0,1,1,0.81,1,132.25,529,132.25,25,13.5,2
Apache Commons Collections,org.apache.commons.collections4,MapUtils.new AbstractSortedMapDecorator() {...},0,4,0,0,0,1,0,1,0,1,1,0.81,1,132.25,529,132.25,24.5,13,1.5
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedGet,30,79,4,4,6,17,8,12,4,12,0.724770642,0.5,20,6.25,256,342.25,9,6.5,25
Apache Commons Collections,org.apache.commons.collections4,TransformerUtils,0,137,0,4,0,34,0,25,0,23,1,1,25,0,4,4,23,23,25
Apache Commons Collections,org.apache.commons.collections4,CollectionUtils.CardinalityHelper,0,51,0,2,0,12,0,7,0,6,1,1,7,0,210.25,210.25,22.5,22.5,8
Apache Commons Collections,org.apache.commons.collections4,SplitMapUtils.WrappedPut,3,82,3,3,1,20,3,15,0,15,0.964705882,0.5,18,81,64,289,15,6,23
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MutableInteger,18,6,4,0,4,3,4,1,2,1,0.25,0,5,0.25,20.25,16,2,2.5,6.5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.UniqueSetIterator,0,53,0,2,0,16,0,4,0,3,1,1,4,0,240.25,240.25,20,20,4.5
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet.SynchronizedSet,0,5,0,0,0,2,0,1,0,1,1,0.81,1,100,342.25,72.25,19.5,9.5,1
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.EntrySet,61,10,10,0,16,4,8,2,3,2,0.14084507,0,10,1,72.25,56.25,1,2,9.5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSetDecorator,29,29,0,4,7,6,6,7,6,5,0.5,1,13,182.25,110.25,9,4,17.5,14.5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.AbstractEntry,45,19,12,0,9,2,8,2,2,2,0.296875,0,10,0.25,64,56.25,1,1.5,9
Apache Commons Collections,org.apache.commons.collections4.multiset,HashMultiSet,0,30,0,0,0,12,0,4,0,4,1,0.81,4,81,169,16,16,7,3
Apache Commons Collections,org.apache.commons.collections4.multiset,SynchronizedMultiSet,36,97,0,2,7,19,3,10,3,9,0.729323308,1,13,100,49,9,5,15,12
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MapBasedMultiSetIterator,4,112,1,13,1,26,1,10,0,4,0.965517241,0.928571429,11,1,2.25,6.25,10,11,8.5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet,14,425,5,43,3,101,5,40,0,21,0.968109339,0.895833333,45,1,25,36,10,9,15
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.UniqueSet,0,41,0,2,0,10,0,8,0,7,1,1,8,0,56.25,56.25,12.5,12.5,5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.MultiSetEntry,0,16,0,0,0,5,0,3,0,3,1,0.81,3,30.25,100,20.25,12,6.5,2
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.MultiSetIterator,29,55,4,6,8,13,3,6,1,3,0.654761905,0.6,9,1,1,4,4,3,5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet.new Transformer() {...},0,9,0,0,0,2,0,2,0,2,1,0.81,2,30.25,90.25,16,10.5,5,1
Apache Commons Collections,org.apache.commons.collections4.multiset,PredicatedMultiSet,13,55,0,4,3,11,2,11,2,9,0.808823529,1,13,16,2.25,6.25,5,9,6.5
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMapMultiSet.EntrySetIterator,18,34,2,0,6,10,2,3,1,3,0.653846154,0,5,4,4,0,3,1,1
Apache Commons Collections,org.apache.commons.collections4.multiset,AbstractMultiSet,179,131,27,19,44,33,24,21,9,13,0.422580645,0.413043478,45,1,42.25,56.25,2,1,8.5
Apache Commons Collections,org.apache.commons.collections4.multiset,UnmodifiableMultiSet,19,67,0,2,5,21,4,13,4,12,0.779069767,1,17,20.25,25,0.25,2,6.5,7
Apache Commons Collections,org.apache.commons.collections4.queue,SynchronizedQueue,5,97,0,2,2,20,1,11,1,10,0.950980392,1,12,4,0,4,4,6,4
Apache Commons Collections,org.apache.commons.collections4.queue,AbstractQueueDecorator,20,12,0,0,6,4,5,3,5,3,0.375,0.81,8,2.25,0.25,1,1,2.5,1.5
Apache Commons Collections,org.apache.commons.collections4.queue,TransformedQueue,0,78,1,3,0,16,1,10,0,9,1,0.75,11,9,4,1,4,1,2
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue.new Iterator() {...},0,192,0,18,0,32,0,13,0,4,1,1,13,0,2.25,2.25,3.5,3.5,2
Apache Commons Collections,org.apache.commons.collections4.queue,CircularFifoQueue,27,337,4,44,6,86,5,40,1,20,0.925824176,0.916666667,45,0,1,1,2,2,3
Apache Commons Collections,org.apache.commons.collections4.queue,PredicatedQueue,0,39,0,0,0,10,0,8,0,8,1,0.81,8,1,1,0,2,1,1
Apache Commons Collections,org.apache.commons.collections4.queue,UnmodifiableQueue,8,64,0,2,2,20,2,13,2,12,0.888888889,1,15,0,0,0,1,1,1
,,,,,,,,,,,,,,,,3164877.25,7084668.25,5369467.5,,,
,,,,,,,,,,,,,,,spearman,0.820556951,0.598311602,0.695560509,,,
,,,,,,,,,,,,,,,pearson,0.613562172,-0.03165915,-0.000868885,,,
